date,action,ticker
2019-03-01,add,B
2019-03-01,add,BA
2019-03-01,add,BAB
2019-03-01,add,BABA
2019-03-01,add,BAC
2019-03-01,add,BAC-P-A
2019-03-01,add,BAC-P-B
2019-03-01,add,BAC-P-C
2019-03-01,add,BAC-P-E
2019-03-01,add,BAC-P-K
2019-03-01,add,BAC-P-L
2019-03-01,add,BAC-P-W
2019-03-01,add,BAC-P-W-CL
2019-03-01,add,BAC-P-Y
2019-03-01,add,BAC-P-Y-CL
2019-03-01,add,BAF
2019-03-01,add,BAH
2019-03-01,add,BAK
2019-03-01,add,BAL
2019-03-01,add,BALL
2019-03-01,add,BAM-W
2019-03-01,add,BANC
2019-03-01,add,BANC-P-E
2019-03-01,add,BAND
2019-03-01,add,BANF
2019-03-01,add,BANFP
2019-03-01,add,BANR
2019-03-01,add,BANX
2019-03-01,add,BAP
2019-03-01,add,BAR
2019-03-01,add,BAS
2019-03-01,add,BATRA
2019-03-01,add,BATRK
2019-03-01,add,BATT
2019-03-01,add,BAX
2019-03-01,add,BAYN
2019-03-01,add,BB
2019-03-01,add,BBAG
2019-03-01,add,BBAR
2019-03-01,add,BBAX
2019-03-01,add,BBBY
2019-03-01,add,BBC
2019-03-01,add,BBCA
2019-03-01,add,BBCB
2019-03-01,add,BBCP
2019-03-01,add,BBD
2019-03-01,add,BBDC
2019-03-01,add,BBDO
2019-03-01,add,BBEU
2019-03-01,add,BBF
2019-03-01,add,BBGI
2019-03-01,add,BBH
2019-03-01,add,BBHY
2019-03-01,add,BBJP
2019-03-01,add,BBK
2019-03-01,add,BBL
2019-03-01,add,BBLG
2019-03-01,add,BBN
2019-03-01,add,BBP
2019-03-01,add,BBQ
2019-03-01,add,BBRC
2019-03-01,add,BBRE
2019-03-01,add,BBSI
2019-03-01,add,BBT
2019-03-01,add,BBT-P-D
2019-03-01,add,BBT-P-E
2019-03-01,add,BBU
2019-03-01,add,BBVA
2019-03-01,add,BBW
2019-03-01,add,BBWI
2019-03-01,add,BBY
2019-03-01,add,BC
2019-03-01,add,BC/PA
2019-03-01,add,BC/PB
2019-03-01,add,BCACR
2019-03-01,add,BCACU
2019-03-01,add,BCAL
2019-03-01,add,BCAR
2019-03-01,add,BCBP
2019-03-01,add,BCC
2019-03-01,add,BCD
2019-03-01,add,BCDA
2019-03-01,add,BCE
2019-03-01,add,BCH
2019-03-01,add,BCI
2019-03-01,add,BCIC
2019-03-01,add,BCLI
2019-03-01,add,BCM
2019-03-01,add,BCML
2019-03-01,add,BCNA
2019-03-01,add,BCO
2019-03-01,add,BCOV
2019-03-01,add,BCOW
2019-03-01,add,BCPC
2019-03-01,add,BCRH
2019-03-01,add,BCRX
2019-03-01,add,BCS
2019-03-01,add,BCSF
2019-03-01,add,BCTX
2019-03-01,add,BCV
2019-03-01,add,BCV-P-A
2019-03-01,add,BCX
2019-03-01,add,BDC
2019-03-01,add,BDC-P-B
2019-03-01,add,BDCL
2019-03-01,add,BDCS
2019-03-01,add,BDCZ
2019-03-01,add,BDJ
2019-03-01,add,BDL
2019-03-01,add,BDN
2019-03-01,add,BDRX
2019-03-01,add,BDRY
2019-03-01,add,BDSI
2019-03-01,add,BDX
2019-03-01,add,BDXA
2019-03-01,add,BE
2019-03-01,add,BEAM
2019-03-01,add,BEAT
2019-03-01,add,BECN
2019-03-01,add,BEDU
2019-03-01,add,BEEM
2019-03-01,add,BEL
2019-03-01,add,BELFA
2019-03-01,add,BELFB
2019-03-01,add,BEN
2019-03-01,add,BEP
2019-03-01,add,BERN
2019-03-01,add,BERY
2019-03-01,add,BEST
2019-03-01,add,BETR
2019-03-01,add,BF-A
2019-03-01,add,BF-B
2019-03-01,add,BFAM
2019-03-01,add,BFC
2019-03-01,add,BFH
2019-03-01,add,BFIN
2019-03-01,add,BFIT
2019-03-01,add,BFK
2019-03-01,add,BFO
2019-03-01,add,BFOR
2019-03-01,add,BFRA
2019-03-01,add,BFS
2019-03-01,add,BFS-P-C
2019-03-01,add,BFS-P-D
2019-03-01,add,BFST
2019-03-01,add,BFY
2019-03-01,add,BFYT
2019-03-01,add,BFZ
2019-03-01,add,BG
2019-03-01,add,BGB
2019-03-01,add,BGC
2019-03-01,add,BGCP
2019-03-01,add,BGFV
2019-03-01,add,BGG
2019-03-01,add,BGH
2019-03-01,add,BGI
2019-03-01,add,BGIO
2019-03-01,add,BGMS
2019-03-01,add,BGMSP
2019-03-01,add,BGR
2019-03-01,add,BGRN
2019-03-01,add,BGS
